tip	date	distance	residual
208997/Chicken/Vietnam/2015-11-11/H5N1	2015.8602739726027	0.053407091450678935	-0.005767527563333173
208992/Muscovy_duck/Vietnam/2015-11-11/H5N1	2015.8602739726027	0.053407091450678935	-0.005767527563333173
244143/Duck/Vietnam/2015-08-15/H5N1	2015.6191780821919	0.05354709145067894	-0.004142363426209099
244144/Chicken/Vietnam/2015-08-15/H5N1	2015.6191780821919	0.05354709145067894	-0.004142363426209099
244145/Chicken/Vietnam/2015-08-15/H5N1	2015.6191780821919	0.056377091450678936	-0.0013123634262090997
208993/Muscovy_duck/Vietnam/2015-11-11/H5N1	2015.8602739726027	0.05710709145067894	-0.0020675275633331713
244141/Muscovy_duck/Vietnam/2015-08-15/H5N1	2015.6191780821919	0.05441709145067893	-0.003272363426209103
244142/Muscovy_duck/Vietnam/2015-08-15/H5N1	2015.6191780821919	0.05195709145067894	-0.005732363426209093
208996/Chicken/Vietnam/2015-11-12/H5N1	2015.86301369863	0.051847091450678943	-0.007344404428527414
245187/Chicken/Vietnam/2014-04-21/H5N1	2014.3013698630136	0.04856709145067894	-0.0010045912676067761
173153/Muscovy_duck/Vietnam/2014-07-12/H5N1	2014.5260273972603	0.05386709145067894	0.0029115057864364177
173154/Muscovy_duck/Vietnam/2014-07-12/H5N1	2014.5260273972603	0.05386709145067894	0.0029115057864364177
173155/Muscovy_duck/Vietnam/2014-07-12/H5N1	2014.5260273972603	0.05386709145067894	0.0029115057864364177
173156/Muscovy_duck/Vietnam/2014-07-12/H5N1	2014.5260273972603	0.05386709145067894	0.0029115057864364177
173152/Muscovy_duck/Vietnam/2014-07-12/H5N1	2014.5260273972603	0.053957091450678944	0.0030015057864364245
208994/Muscovy_duck/Vietnam/2015-11-12/H5N1	2015.86301369863	0.053967091450678926	-0.005224404428527431
208995/Duck/Vietnam/2015-11-26/H5N1	2015.9013698630138	0.053967091450678926	-0.00546068054125224
245194/Chicken/Vietnam/2014-04-26/H5N1	2014.3150684931506	0.047397091450678934	-0.0022589755935797998
245215/Chicken/Vietnam/2014-08-06/H5N1	2014.5945205479452	0.05266709145067893	0.0012895841565713148
224907/Duck/Vietnam/2015-01-06/H5N1	2015.013698630137	0.05446709145067894	5.074237817980012E-4
224908/Duck/Vietnam/2015-01-06/H5N1	2015.013698630137	0.05471709145067894	7.574237817980015E-4
245202/Chicken/Vietnam/2014-05-06/H5N1	2014.3424657534247	0.049867091450678934	4.225575447416169E-5
245210/Duck/Vietnam/2014-05-21/H5N1	2014.3835616438357	0.04813709145067894	-0.0019408972234448915
245179/Chicken/Vietnam/2014-04-20/H5N1	2014.2986301369863	0.054197091450678934	0.0046422855975874686
136318/Duck/Vietnam/2012-08-22/H5N1	2012.639344262295	0.04290709145067894	0.0035735791672480907
136174/Duck/Vietnam/2012-08-25/H5N1	2012.6475409836066	0.04171709145067893	0.002333086906624822
170856/Duck/Vietnam/2012-09-10/H5N1	2012.691256830601	0.04236709145067893	0.002713794849967442
136210/Duck/Vietnam/2012-08-30/H5N1	2012.6612021857923	0.04236709145067893	0.0028989331389211656
136136/Duck/Vietnam/2012-08-23/H5N1	2012.6420765027322	0.04106709145067893	0.0017167484137069963
136187/Duck/Vietnam/2012-08-21/H5N1	2012.636612021858	0.04106709145067893	0.0017504099207891685
136188/Duck/Vietnam/2012-08-28/H5N1	2012.655737704918	0.04106709145067893	0.0016325946460015658
136205/Duck/Vietnam/2012-08-27/H5N1	2012.6530054644809	0.04106709145067893	0.001649425399542652
136209/Duck/Vietnam/2012-08-28/H5N1	2012.655737704918	0.04106709145067893	0.0016325946460015658
170544/Duck/Vietnam/2012-09-10/H5N1	2012.691256830601	0.04106709145067893	0.0014137948499674466
170855/Duck/Vietnam/2012-09-10/H5N1	2012.691256830601	0.04106709145067893	0.0014137948499674466
136134/Duck/Vietnam/2012-08-20/H5N1	2012.6338797814208	0.04106709145067893	0.0017672406743302546
136135/Duck/Vietnam/2012-08-23/H5N1	2012.6420765027322	0.04106709145067893	0.0017167484137069963
170541/Duck/Vietnam/2012-07-10/H5N1	2012.5218579234972	0.04226709145067894	0.003657301569514791
136255/Duck/Vietnam/2012-08-30/H5N1	2012.6612021857923	0.04226709145067894	0.0027989331389211766
136137/Duck/Vietnam/2012-08-27/H5N1	2012.6530054644809	0.04171709145067893	0.0022994253995426497
136173/Duck/Vietnam/2012-08-23/H5N1	2012.6420765027322	0.04006709145067893	7.167484137069954E-4
173151/Muscovy_duck/Vietnam/2014-06-04/H5N1	2014.4219178082192	0.048257091450678934	-0.0020571733361697056
173149/Muscovy_duck/Vietnam/2014-06-04/H5N1	2014.4219178082192	0.048257091450678934	-0.0020571733361697056
173150/Muscovy_duck/Vietnam/2014-06-04/H5N1	2014.4219178082192	0.048257091450678934	-0.0020571733361697056
245140/Duck/Vietnam/2014-05-01/H5N1	2014.3287671232877	0.049577091450678935	-1.6335991955281765E-4
245171/Duck/Vietnam/2014-04-01/H5N1	2014.2465753424658	0.049577091450678935	3.429460362852979E-4
143731/Muscovy_duck/Vietnam/2013-05-09/H5N1	2013.3506849315067	0.04366709145067894	-4.831904507995172E-5
143906/Duck/Vietnam/2013-05-09/H5N1	2013.3506849315067	0.04366709145067894	-4.831904507995172E-5
173148/Muscovy_duck/Vietnam/2013-05-09/H5N1	2013.3506849315067	0.04366709145067894	-4.831904507995172E-5
245142/Duck/Vietnam/2013-05-07/H5N1	2013.345205479452	0.04366709145067894	-1.4565314691454556E-5
143155/Duck/Vietnam/2013-04-10/H5N1	2013.2712328767122	0.044427091450678934	0.001201110045563912
245239/Duck/Vietnam/2013-03-21/H5N1	2013.2164383561644	0.04378709145067893	8.98647349454211E-4
245262/Duck/Vietnam/2013-03-13/H5N1	2013.194520547945	0.04378709145067893	0.0010336622710117524
170851/Chicken/Vietnam/2012-08-11/H5N1	2012.6092896174864	0.04181709145067893	0.00266871745620003
138184/Muscovy_duck/Vietnam/2012/H5N1	2012.5	0.04257709145067893	0.0041019475978416944
245270/Duck/Vietnam/2013-03-01/H5N1	2013.1616438356164	0.04454709145067894	0.001996184653348075
133016/Duck/Vietnam/2012-08-11/H5N1	2012.6092896174864	0.04170709145067893	0.002558717456200031
134631/Duck/Vietnam/2012-08-11/H5N1	2012.6092896174864	0.041807091450678936	0.002658717456200034
134629/Duck/Vietnam/2012-08-11/H5N1	2012.6092896174864	0.041917091450678935	0.002768717456200033
170854/Muscovy_duck/Vietnam/2012-08-18/H5N1	2012.6284153005465	0.04125709145067893	0.0019909021814124225
136317/Duck/Vietnam/2012-07-12/H5N1	2012.5273224043715	0.04115709145067894	0.002513640062432619
170555/Duck/Vietnam/2012-12-06/H5N2	2012.9289617486338	0.04398709145067894	0.002869519291896515
245143/Duck/Vietnam/2013-02-26/H5N1	2013.1534246575343	0.045317091450678935	0.0028168152489308138
245276/Duck/Vietnam/2012-12-17/H5N1	2012.9590163934427	0.03886709145067894	-0.0024356189970554318
245280/Duck/Vietnam/2013-01-14/H5N1	2013.035616438356	0.03886709145067894	-0.0029074795477005075
245277/Duck/Vietnam/2012-12-17/H5N1	2012.9590163934427	0.03886709145067894	-0.0024356189970554318
